model,folder,instance_id,source,system_messages,user_messages,assistant_messages,tool_messages,other_messages,other_roles,total_messages,api_calls,cost
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-12907,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-12907/astropy__astropy-12907.traj.json,1,1,32,32,1,"{""exit"": 1}",67,32,0.7220905000000003
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13033,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-13033/astropy__astropy-13033.traj.json,1,1,56,56,1,"{""exit"": 1}",115,56,0.9606260000000003
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13236,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-13236/astropy__astropy-13236.traj.json,1,1,38,41,1,"{""exit"": 1}",82,38,0.6501449999999999
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13398,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-13398/astropy__astropy-13398.traj.json,1,1,58,76,1,"{""exit"": 1}",137,58,2.0428815
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13453,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-13453/astropy__astropy-13453.traj.json,1,1,48,57,1,"{""exit"": 1}",108,48,1.1097202499999999
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13579,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-13579/astropy__astropy-13579.traj.json,1,1,39,40,1,"{""exit"": 1}",82,39,1.1030327500000001
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-13977,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-13977/astropy__astropy-13977.traj.json,1,1,41,46,1,"{""exit"": 1}",90,41,1.0037147499999999
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14096,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-14096/astropy__astropy-14096.traj.json,1,1,29,29,1,"{""exit"": 1}",61,29,0.47836424999999994
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14182,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-14182/astropy__astropy-14182.traj.json,1,1,47,52,1,"{""exit"": 1}",102,47,0.8921457499999998
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14309,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-14309/astropy__astropy-14309.traj.json,1,1,26,29,1,"{""exit"": 1}",58,26,0.59190325
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14365,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-14365/astropy__astropy-14365.traj.json,1,1,22,24,1,"{""exit"": 1}",49,22,0.48384975
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14369,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-14369/astropy__astropy-14369.traj.json,1,1,37,40,1,"{""exit"": 1}",80,37,1.070297
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14508,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-14508/astropy__astropy-14508.traj.json,1,1,42,47,1,"{""exit"": 1}",92,42,1.0986740000000002
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14539,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-14539/astropy__astropy-14539.traj.json,1,1,20,26,1,"{""exit"": 1}",49,20,0.36909575
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14598,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-14598/astropy__astropy-14598.traj.json,1,1,63,66,1,"{""exit"": 1}",132,63,1.975697
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-14995,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-14995/astropy__astropy-14995.traj.json,1,1,35,37,1,"{""exit"": 1}",75,35,0.76757025
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7166,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-7166/astropy__astropy-7166.traj.json,1,1,23,24,1,"{""exit"": 1}",50,23,0.5363747499999999
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7336,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-7336/astropy__astropy-7336.traj.json,1,1,20,20,1,"{""exit"": 1}",43,20,0.33071375000000003
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7606,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-7606/astropy__astropy-7606.traj.json,1,1,20,23,1,"{""exit"": 1}",46,20,0.34843850000000004
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-7671,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-7671/astropy__astropy-7671.traj.json,1,1,23,26,1,"{""exit"": 1}",52,23,0.34150575000000005
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-8707,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-8707/astropy__astropy-8707.traj.json,1,1,35,47,1,"{""exit"": 1}",85,35,0.9053564999999999
